,jaar,maand,brandstof_omschrijving,aantal,cum aantal
160,1959,okt,Diesel,1,48
161,1959,okt,LPG,1,23
162,1959,nov,Benzine,20,2549
163,1959,nov,Diesel,1,49
164,1959,nov,LPG,2,25
165,1959,dec,Benzine,22,2571
166,1959,dec,LPG,2,27
167,1960,jan,Benzine,23,2594
168,1960,jan,Diesel,1,50
169,1960,feb,Benzine,34,2628
170,1960,feb,LPG,1,28
171,1960,mrt,Benzine,53,2681
172,1960,mrt,Diesel,2,52
173,1960,apr,Benzine,58,2739
174,1960,apr,LPG,1,29
175,1960,mei,Benzine,48,2787
176,1960,mei,Diesel,1,53
177,1960,mei,LPG,1,30
178,1960,jun,Benzine,51,2838
179,1960,jun,LPG,1,31
180,1960,jul,Benzine,36,2874
181,1960,aug,Benzine,31,2905
182,1960,aug,Elektriciteit,1,1
183,1960,aug,LPG,1,32
184,1960,sep,Benzine,27,2932
185,1960,sep,Diesel,2,55
186,1960,okt,Benzine,33,2965
187,1960,okt,Diesel,1,56
188,1960,nov,Benzine,22,2987
189,1960,dec,Benzine,27,3014
190,1961,jan,Benzine,30,3044
191,1961,feb,Benzine,42,3086
192,1961,mrt,Benzine,65,3151
193,1961,mrt,Diesel,2,58
194,1961,mrt,LPG,2,34
195,1961,apr,Benzine,41,3192
196,1961,apr,Diesel,1,59
197,1961,mei,Benzine,54,3246
198,1961,mei,Diesel,1,60
199,1961,jun,Benzine,42,3288
200,1961,jun,Diesel,2,62
201,1961,jun,LPG,3,37
202,1961,jul,Benzine,50,3338
203,1961,jul,Diesel,2,64
204,1961,aug,Benzine,36,3374
205,1961,aug,Diesel,1,65
206,1961,aug,LPG,1,38
207,1961,sep,Benzine,50,3424
208,1961,sep,Diesel,1,66
209,1961,sep,LPG,2,40
210,1961,okt,Benzine,41,3465
211,1961,okt,Diesel,2,68
212,1961,okt,LPG,2,42
213,1961,nov,Benzine,40,3505
214,1961,nov,Diesel,1,69
215,1961,nov,LPG,1,43
216,1961,dec,Benzine,30,3535
217,1962,jan,Benzine,46,3581
218,1962,jan,Diesel,3,72
219,1962,feb,Benzine,50,3631
220,1962,feb,Diesel,1,73
221,1962,feb,LPG,1,44
222,1962,mrt,Benzine,64,3695
223,1962,mrt,Diesel,1,74
224,1962,mrt,LPG,1,45
225,1962,apr,Benzine,62,3757
226,1962,apr,Diesel,1,75
227,1962,mei,Benzine,63,3820
228,1962,mei,Diesel,2,77
229,1962,mei,LPG,1,46
230,1962,jun,Benzine,62,3882
231,1962,jun,LPG,3,49
232,1962,jul,Benzine,68,3950
233,1962,jul,LPG,1,50
234,1962,aug,Benzine,47,3997
235,1962,aug,Diesel,4,81
236,1962,aug,LPG,1,51
237,1962,sep,Benzine,37,4034
238,1962,sep,Diesel,2,83
239,1962,sep,LPG,1,52
240,1962,okt,Benzine,43,4077
241,1962,okt,Diesel,1,84
242,1962,nov,Benzine,52,4129
243,1962,nov,Diesel,3,87
244,1962,nov,LPG,1,53
245,1962,dec,Benzine,24,4153
246,1962,dec,Diesel,1,88
247,1962,dec,LPG,1,54
248,1963,jan,Benzine,33,4186
249,1963,feb,Benzine,43,4229
250,1963,feb,LPG,1,55
251,1963,mrt,Benzine,81,4310
252,1963,mrt,Diesel,2,90
253,1963,mrt,LPG,2,57
254,1963,apr,Benzine,99,4409
255,1963,apr,LPG,2,59
256,1963,mei,Benzine,102,4511
257,1963,mei,Diesel,3,93
258,1963,mei,LPG,1,60
259,1963,jun,Benzine,91,4602
260,1963,jun,Diesel,1,94
261,1963,jun,LPG,5,65
262,1963,jul,Benzine,104,4706
263,1963,jul,Diesel,1,95
